mode,alpha,mu,a,gamma,m0,steps,final_M,final_Xi,regime,xi_plateau,blowup_step,under_resolved
B_fixed_seed_sigma_feedback,0.00021544347,0.059948425,2,0,10,60,0.24869486,0.0054923644,plateau,0.0010006828,,True
B_fixed_seed_sigma_feedback,0.00021544347,0.1,2,0,10,60,0.018127826,0.0034613802,plateau,0.00046737026,,True
B_fixed_seed_sigma_feedback,0.00046415888,0.001,2,0,10,60,29436.222,1471.3541,precursor-active,0.0078660802,,False
B_fixed_seed_sigma_feedback,0.00046415888,0.0016681005,2,0,10,60,16.817211,0.40255738,precursor-active,0.0077455916,,False
B_fixed_seed_sigma_feedback,0.00046415888,0.0027825594,2,0,10,60,12.822923,0.23502062,precursor-active,0.0075492409,,False
B_fixed_seed_sigma_feedback,0.00046415888,0.0046415888,2,0,10,60,10.158999,0.14984128,exponential,0.0072341544,,True
B_fixed_seed_sigma_feedback,0.00046415888,0.0077426368,2,0,10,60,7.7099591,0.094556279,plateau,0.0067411902,,True
B_fixed_seed_sigma_feedback,0.00046415888,0.012915497,2,0,10,60,5.2697675,0.057734476,plateau,0.0060012069,,True
B_fixed_seed_sigma_feedback,0.00046415888,0.021544347,2,0,10,60,2.9626216,0.034245035,plateau,0.0049620897,,True
B_fixed_seed_sigma_feedback,0.00046415888,0.035938137,2,0,10,60,1.1765356,0.020171718,plateau,0.0036486664,,True
B_fixed_seed_sigma_feedback,0.00046415888,0.059948425,2,0,10,60,0.25325504,0.012124825,plateau,0.0022354993,,True
B_fixed_seed_sigma_feedback,0.00046415888,0.1,2,0,10,60,0.018316559,0.0075636383,plateau,0.0010357143,,True
B_fixed_seed_sigma_feedback,0.001,0.001,2,0,10,160,1e+09,1e+09,explosive,1000,29,False
B_fixed_seed_sigma_feedback,0.001,0.0016681005,2,0,10,160,1e+09,1e+09,explosive,1000,30,False
B_fixed_seed_sigma_feedback,0.001,0.0027825594,2,0,10,160,1e+09,1e+09,explosive,0.032088783,32,False
B_fixed_seed_sigma_feedback,0.001,0.0046415888,2,0,10,160,1e+09,1e+09,explosive,0.026417617,36,False
B_fixed_seed_sigma_feedback,0.001,0.0077426368,2,0,10,160,1e+09,1e+09,explosive,0.019606454,50,False
B_fixed_seed_sigma_feedback,0.001,0.012915497,2,0,10,60,6.9949231,0.19104645,plateau,0.014611167,,True
B_fixed_seed_sigma_feedback,0.001,0.021544347,2,0,10,60,3.3991379,0.08958156,plateau,0.011963655,,True
B_fixed_seed_sigma_feedback,0.001,0.035938137,2,0,10,60,1.2685365,0.048080993,plateau,0.0086773569,,True
B_fixed_seed_sigma_feedback,0.001,0.059948425,2,0,10,60,0.26414155,0.027621854,plateau,0.005225244,,True
B_fixed_seed_sigma_feedback,0.001,0.1,2,0,10,60,0.018749572,0.016818787,plateau,0.0023757012,,True
B_fixed_seed_sigma_feedback,0.0021544347,0.001,2,0,10,160,1e+09,1e+09,explosive,1000,15,False
B_fixed_seed_sigma_feedback,0.0021544347,0.0016681005,2,0,10,160,1e+09,1e+09,explosive,1000,15,False
B_fixed_seed_sigma_feedback,0.0021544347,0.0027825594,2,0,10,160,1e+09,1e+09,explosive,1000,16,False
B_fixed_seed_sigma_feedback,0.0021544347,0.0046415888,2,0,10,160,1e+09,1e+09,explosive,1000,16,False
B_fixed_seed_sigma_feedback,0.0021544347,0.0077426368,2,0,10,160,1e+09,1e+09,explosive,1000,18,False
B_fixed_seed_sigma_feedback,0.0021544347,0.012915497,2,0,10,60,1e+09,1e+09,explosive,0.042820061,21,False
B_fixed_seed_sigma_feedback,0.0021544347,0.021544347,2,0,10,60,1e+09,1e+09,explosive,0.034084778,48,False
B_fixed_seed_sigma_feedback,0.0021544347,0.035938137,2,0,10,60,1.5997072,0.13964393,plateau,0.023788626,,True
B_fixed_seed_sigma_feedback,0.0021544347,0.059948425,2,0,10,60,0.29440701,0.068453966,plateau,0.013667747,,True
B_fixed_seed_sigma_feedback,0.0021544347,0.1,2,0,10,60,0.019829101,0.03901948,plateau,0.0059173895,,True
B_fixed_seed_sigma_feedback,0.0046415888,0.001,2,0,10,160,1e+09,1e+09,explosive,1000,9,False
B_fixed_seed_sigma_feedback,0.0046415888,0.0016681005,2,0,10,160,1e+09,1e+09,explosive,1000,9,False
B_fixed_seed_sigma_feedback,0.0046415888,0.0027825594,2,0,10,160,1e+09,1e+09,explosive,1000,9,False
B_fixed_seed_sigma_feedback,0.0046415888,0.0046415888,2,0,10,160,1e+09,1e+09,explosive,1000,9,False
B_fixed_seed_sigma_feedback,0.0046415888,0.0077426368,2,0,10,160,1e+09,1e+09,explosive,1000,9,False
B_fixed_seed_sigma_feedback,0.0046415888,0.012915497,2,0,10,60,1e+09,1e+09,explosive,1000,10,False
B_fixed_seed_sigma_feedback,0.0046415888,0.021544347,2,0,10,60,1e+09,1e+09,explosive,1000,11,False
B_fixed_seed_sigma_feedback,0.0046415888,0.035938137,2,0,10,60,1e+09,1e+09,explosive,0.10635289,14,False
B_fixed_seed_sigma_feedback,0.0046415888,0.059948425,2,0,10,60,0.45462035,0.24500625,plateau,0.050724833,,True
B_fixed_seed_sigma_feedback,0.0046415888,0.1,2,0,10,60,0.023239564,0.10250006,plateau,0.018541167,,True
B_fixed_seed_sigma_feedback,0.01,0.001,2,0,10,160,1e+09,1e+09,explosive,1000,6,False
B_fixed_seed_sigma_feedback,0.01,0.0016681005,2,0,10,160,1e+09,1e+09,explosive,1000,6,False
B_fixed_seed_sigma_feedback,0.01,0.0027825594,2,0,10,160,1e+09,1e+09,explosive,1000,6,False
B_fixed_seed_sigma_feedback,0.01,0.0046415888,2,0,10,160,1e+09,1e+09,explosive,1000,6,False
B_fixed_seed_sigma_feedback,0.01,0.0077426368,2,0,10,160,1e+09,1e+09,explosive,1000,6,False
B_fixed_seed_sigma_feedback,0.01,0.012915497,2,0,10,60,1e+09,1e+09,explosive,1000,6,False
B_fixed_seed_sigma_feedback,0.01,0.021544347,2,0,10,60,1e+09,1e+09,explosive,1000,6,False
B_fixed_seed_sigma_feedback,0.01,0.035938137,2,0,10,60,1e+09,1e+09,explosive,1000,7,False
B_fixed_seed_sigma_feedback,0.01,0.059948425,2,0,10,60,1e+09,1e+09,explosive,1000,8,False
B_fixed_seed_sigma_feedback,0.01,0.1,2,0,10,60,1e+09,1e+09,explosive,0.18079862,14,False
B_fixed_seed_sigma_feedback,1e-05,0.001,2,0,20,60,1e+09,1e+09,explosive,0.011001147,50,False
B_fixed_seed_sigma_feedback,1e-05,0.0016681005,2,0,20,60,1e+09,1e+09,explosive,0.010689366,58,False
B_fixed_seed_sigma_feedback,1e-05,0.0027825594,2,0,20,60,21.668594,0.25785005,exponential,0.010191135,,False
B_fixed_seed_sigma_feedback,1e-05,0.0046415888,2,0,20,60,17.378338,0.13357907,plateau,0.0094170343,,True
B_fixed_seed_sigma_feedback,1e-05,0.0077426368,2,0,20,60,13.63077,0.075575099,plateau,0.0082683347,,True
B_fixed_seed_sigma_feedback,1e-05,0.012915497,2,0,20,60,9.6380772,0.043648971,plateau,0.0066856063,,True
B_fixed_seed_sigma_feedback,1e-05,0.021544347,2,0,20,60,5.5804446,0.025742853,plateau,0.0047463606,,True
B_fixed_seed_sigma_feedback,1e-05,0.035938137,2,0,20,60,2.2671329,0.015643548,plateau,0.0027624474,,True
B_fixed_seed_sigma_feedback,1e-05,0.059948425,2,0,20,60,0.4958566,0.0098917092,plateau,0.0012060937,,True
B_fixed_seed_sigma_feedback,1e-05,0.1,2,0,20,60,0.036235131,0.0066061316,plateau,0.00035998358,,True
B_fixed_seed_sigma_feedback,2.1544347e-05,0.001,2,0,20,60,1e+09,1e+09,explosive,0.028462555,23,False
B_fixed_seed_sigma_feedback,2.1544347e-05,0.0016681005,2,0,20,60,1e+09,1e+09,explosive,0.02758493,25,False
B_fixed_seed_sigma_feedback,2.1544347e-05,0.0027825594,2,0,20,60,1e+09,1e+09,explosive,0.026189764,27,False
B_fixed_seed_sigma_feedback,2.1544347e-05,0.0046415888,2,0,20,60,1e+09,1e+09,explosive,0.024040119,34,False
B_fixed_seed_sigma_feedback,2.1544347e-05,0.0077426368,2,0,20,60,17.274268,0.31072064,plateau,0.02089156,,True
B_fixed_seed_sigma_feedback,2.1544347e-05,0.012915497,2,0,20,60,10.46473,0.11808029,plateau,0.01663735,,True
B_fixed_seed_sigma_feedback,2.1544347e-05,0.021544347,2,0,20,60,5.8193133,0.06201404,plateau,0.011566463,,True
B_fixed_seed_sigma_feedback,2.1544347e-05,0.035938137,2,0,20,60,2.322011,0.035797819,plateau,0.0065590582,,True
B_fixed_seed_sigma_feedback,2.1544347e-05,0.059948425,2,0,20,60,0.50319204,0.022041742,plateau,0.002784859,,True
B_fixed_seed_sigma_feedback,2.1544347e-05,0.1,2,0,20,60,0.03658945,0.01449995,plateau,0.0008106694,,True
B_fixed_seed_sigma_feedback,4.6415888e-05,0.001,2,0,20,60,1e+09,1e+09,explosive,0.10220732,13,False
B_fixed_seed_sigma_feedback,4.6415888e-05,0.0016681005,2,0,20,60,1e+09,1e+09,explosive,0.098172309,13,False
B_fixed_seed_sigma_feedback,4.6415888e-05,0.0027825594,2,0,20,60,1e+09,1e+09,explosive,0.091872734,13,False
B_fixed_seed_sigma_feedback,4.6415888e-05,0.0046415888,2,0,20,60,1e+09,1e+09,explosive,0.082440819,14,False
B_fixed_seed_sigma_feedback,4.6415888e-05,0.0077426368,2,0,20,60,1e+09,1e+09,explosive,0.06922168,16,False
B_fixed_seed_sigma_feedback,4.6415888e-05,0.012915497,2,0,20,60,1e+09,1e+09,explosive,0.052476356,23,False
B_fixed_seed_sigma_feedback,4.6415888e-05,0.021544347,2,0,20,60,6.7233005,0.19245685,plateau,0.034192612,,True
B_fixed_seed_sigma_feedback,4.6415888e-05,0.035938137,2,0,20,60,2.4735073,0.090210615,plateau,0.017976146,,True
B_fixed_seed_sigma_feedback,4.6415888e-05,0.059948425,2,0,20,60,0.52119393,0.051460746,plateau,0.0070753638,,True
B_fixed_seed_sigma_feedback,4.6415888e-05,0.1,2,0,20,60,0.037409823,0.032600487,plateau,0.001933294,,True
B_fixed_seed_sigma_feedback,0.0001,0.001,2,0,20,60,1e+09,1e+09,explosive,1000,8,False
B_fixed_seed_sigma_feedback,0.0001,0.0016681005,2,0,20,60,1e+09,1e+09,explosive,1000,8,False
B_fixed_seed_sigma_feedback,0.0001,0.0027825594,2,0,20,60,1e+09,1e+09,explosive,1000,8,False
B_fixed_seed_sigma_feedback,0.0001,0.0046415888,2,0,20,60,1e+09,1e+09,explosive,1000,8,False
B_fixed_seed_sigma_feedback,0.0001,0.0077426368,2,0,20,60,1e+09,1e+09,explosive,1000,8,False
B_fixed_seed_sigma_feedback,0.0001,0.012915497,2,0,20,60,1e+09,1e+09,explosive,1000,9,False
B_fixed_seed_sigma_feedback,0.0001,0.021544347,2,0,20,60,1e+09,1e+09,explosive,1000,11,False
B_fixed_seed_sigma_feedback,0.0001,0.035938137,2,0,20,60,3.4961011,0.41100977,plateau,0.083495634,,True
B_fixed_seed_sigma_feedback,0.0001,0.059948425,2,0,20,60,0.57707497,0.13924529,plateau,0.024172119,,True
B_fixed_seed_sigma_feedback,0.0001,0.1,2,0,20,60,0.039522844,0.078119866,plateau,0.0053784673,,True
B_fixed_seed_sigma_feedback,0.00021544347,0.001,2,0,20,60,1e+09,1e+09,explosive,1000,5,False
B_fixed_seed_sigma_feedback,0.00021544347,0.0016681005,2,0,20,60,1e+09,1e+09,explosive,1000,5,False
B_fixed_seed_sigma_feedback,0.00021544347,0.0027825594,2,0,20,60,1e+09,1e+09,explosive,1000,5,False
B_fixed_seed_sigma_feedback,0.00021544347,0.0046415888,2,0,20,60,1e+09,1e+09,explosive,1000,5,False
B_fixed_seed_sigma_feedback,0.00021544347,0.0077426368,2,0,20,60,1e+09,1e+09,explosive,1000,5,False
B_fixed_seed_sigma_feedback,0.00021544347,0.012915497,2,0,20,60,1e+09,1e+09,explosive,1000,6,False
B_fixed_seed_sigma_feedback,0.00021544347,0.021544347,2,0,20,60,1e+09,1e+09,explosive,1000,6,False
B_fixed_seed_sigma_feedback,0.00021544347,0.035938137,2,0,20,60,1e+09,1e+09,explosive,1000,6,False
B_fixed_seed_sigma_feedback,0.00021544347,0.059948425,2,0,20,60,1e+09,1e+09,explosive,1000,8,False
B_fixed_seed_sigma_feedback,0.00021544347,0.1,2,0,20,60,0.047684294,0.24022386,plateau,0.028341281,,True
B_fixed_seed_sigma_feedback,0.00046415888,0.001,2,0,20,60,1e+09,1e+09,explosive,1000,4,False
B_fixed_seed_sigma_feedback,0.00046415888,0.0016681005,2,0,20,60,1e+09,1e+09,explosive,1000,4,False
B_fixed_seed_sigma_feedback,0.00046415888,0.0027825594,2,0,20,60,1e+09,1e+09,explosive,1000,4,False
B_fixed_seed_sigma_feedback,0.00046415888,0.0046415888,2,0,20,60,1e+09,1e+09,explosive,1000,4,False
B_fixed_seed_sigma_feedback,0.00046415888,0.0077426368,2,0,20,60,1e+09,1e+09,explosive,1000,4,False
B_fixed_seed_sigma_feedback,0.00046415888,0.012915497,2,0,20,60,1e+09,1e+09,explosive,1000,4,False
B_fixed_seed_sigma_feedback,0.00046415888,0.021544347,2,0,20,60,1e+09,1e+09,explosive,1000,4,False
B_fixed_seed_sigma_feedback,0.00046415888,0.035938137,2,0,20,60,1e+09,1e+09,explosive,1000,4,False
