step,D_total,k_total,total_M,n_active,n_dormant,convergence,texture_type,a_env,K_env,innovation_potential,n_self_metatheses,n_absorptive_cross,n_novel_cross,n_env_transitions,temporal_state_counts
29,26,57212.418474002894,53201.10480011657,10,0,1.0,2,2.9801,200041.21600345956,146840.111203343,15,0,0,2,"{0: 0, 1: 0, 2: 7, 3: 3, 4: 0}"
30,26,57818.45727822028,53541.138080333374,10,0,1.0,3,2.9702990000000002,200098.6223007032,146557.48422036984,15,0,0,3,"{0: 0, 1: 0, 2: 7, 3: 3, 4: 0}"
31,26,67820.21607992244,62637.366131976465,10,0,1.0,3,2.9702990000000002,200098.6223007032,137461.25616872672,15,0,0,3,"{0: 0, 1: 1, 2: 7, 3: 2, 4: 0}"
32,27,67822.32961281872,62326.29283421286,10,0,1.0,3,2.9702990000000002,200098.6223007032,137772.32946649034,16,0,0,3,"{0: 0, 1: 1, 2: 6, 3: 3, 4: 0}"
33,28,67824.99137393871,62017.323131161786,10,0,1.0,3,2.9702990000000002,200098.6223007032,138081.2991695414,17,0,0,3,"{0: 0, 1: 0, 2: 6, 3: 4, 4: 0}"
34,28,67828.62690758583,61710.87204915309,10,0,1.0,3,2.9702990000000002,200098.6223007032,138387.7502515501,17,0,0,3,"{0: 0, 1: 1, 2: 6, 3: 3, 4: 0}"
35,29,67834.5159860002,61408.2067673217,10,0,1.0,3,2.9702990000000002,200098.6223007032,138690.41553338149,18,0,0,3,"{0: 0, 1: 1, 2: 6, 3: 3, 4: 0}"
36,29,67850.25179362683,61116.90154111172,10,0,1.0,3,2.9702990000000002,200098.6223007032,138981.72075959147,18,0,0,3,"{0: 0, 1: 0, 2: 7, 3: 3, 4: 0}"
37,29,68504.69573586217,61465.760975641504,10,0,1.0,3,2.9702990000000002,200098.6223007032,138632.8613250617,18,0,0,3,"{0: 0, 1: 0, 2: 7, 3: 3, 4: 0}"
38,30,78509.68700816591,70478.93137898356,10,0,1.0,3,2.9702990000000002,200098.6223007032,129619.69092171964,19,0,0,3,"{0: 0, 1: 0, 2: 7, 3: 3, 4: 0}"
39,31,78519.98561333661,70136.83532725934,10,0,1.0,3,2.9702990000000002,200098.6223007032,129961.78697344386,20,0,0,3,"{0: 0, 1: 0, 2: 7, 3: 3, 4: 0}"
40,31,78567.96407207685,69834.12960936327,10,0,1.0,1,2.96059601,200176.20404176824,130342.07443240497,20,0,0,4,"{0: 0, 1: 0, 2: 7, 3: 3, 4: 0}"
41,31,89894.30713611658,80752.57403939663,10,0,1.0,1,2.96059601,200176.20404176824,119423.63000237162,20,0,0,4,"{0: 0, 1: 1, 2: 7, 3: 2, 4: 0}"
42,31,99894.30713611658,88990.3040787329,10,0,1.0,1,2.96059601,200176.20404176824,111185.89996303535,20,0,0,4,"{0: 0, 1: 1, 2: 7, 3: 2, 4: 0}"
43,31,99894.30713611658,88545.35255833923,10,0,1.0,1,2.96059601,200176.20404176824,111630.85148342901,20,0,0,4,"{0: 0, 1: 0, 2: 8, 3: 2, 4: 0}"
44,31,99894.30713611658,88102.62579554753,10,0,1.0,1,2.96059601,200176.20404176824,112073.57824622071,20,0,0,4,"{0: 0, 1: 1, 2: 8, 3: 1, 4: 0}"
45,31,99894.30713611658,87662.1126665698,10,0,1.0,1,2.96059601,200176.20404176824,112514.09137519845,20,0,0,4,"{0: 0, 1: 2, 2: 8, 3: 0, 4: 0}"
46,31,99894.30713611658,87223.80210323694,10,0,1.0,1,2.96059601,200176.20404176824,112952.4019385313,20,0,0,4,"{0: 0, 1: 1, 2: 9, 3: 0, 4: 0}"
47,31,99894.30713611658,86787.68309272076,10,0,1.0,1,2.96059601,200176.20404176824,113388.52094904748,20,0,0,4,"{0: 0, 1: 0, 2: 10, 3: 0, 4: 0}"
48,31,99894.30713611658,86353.74467725716,10,0,1.0,1,2.96059601,200176.20404176824,113822.45936451109,20,0,0,4,"{0: 0, 1: 0, 2: 10, 3: 0, 4: 0}"
49,31,99894.30713611658,85921.97595387087,10,0,1.0,1,2.96059601,200176.20404176824,114254.22808789737,20,0,0,4,"{0: 0, 1: 0, 2: 10, 3: 0, 4: 0}"
50,31,99894.30713611658,85492.3660741015,10,0,1.0,1,2.9509900499,200274.33630848667,114781.97023438517,20,0,0,4,"{0: 0, 1: 0, 2: 10, 3: 0, 4: 0}"
51,31,99894.30713611658,85064.904243731,10,0,1.0,1,2.9509900499,200274.33630848667,115209.43206475567,20,0,0,4,"{0: 0, 1: 0, 2: 10, 3: 0, 4: 0}"
52,31,99894.30713611658,84639.57972251235,10,0,1.0,1,2.9509900499,200274.33630848667,115634.75658597432,20,0,0,4,"{0: 0, 1: 0, 2: 10, 3: 0, 4: 0}"
53,31,99894.30713611658,84216.38182389978,10,0,1.0,1,2.9509900499,200274.33630848667,116057.9544845869,20,0,0,4,"{0: 0, 1: 0, 2: 10, 3: 0, 4: 0}"
54,31,99894.30713611658,83795.29991478028,10,0,1.0,1,2.9509900499,200274.33630848667,116479.0363937064,20,0,0,4,"{0: 0, 1: 0, 2: 10, 3: 0, 4: 0}"
55,31,99894.30713611658,83376.32341520638,10,0,1.0,1,2.9509900499,200274.33630848667,116898.01289328029,20,0,0,4,"{0: 0, 1: 0, 2: 10, 3: 0, 4: 0}"
56,31,99894.30713611658,82959.44179813036,10,0,1.0,1,2.9509900499,200274.33630848667,117314.89451035632,20,0,0,4,"{0: 0, 1: 0, 2: 10, 3: 0, 4: 0}"
57,31,99894.30713611658,82544.6445891397,10,0,1.0,1,2.9509900499,200274.33630848667,117729.69171934697,20,0,0,4,"{0: 0, 1: 0, 2: 10, 3: 0, 4: 0}"
58,31,99894.30713611658,82131.921366194,10,0,1.0,1,2.9509900499,200274.33630848667,118142.41494229267,20,0,0,4,"{0: 0, 1: 0, 2: 10, 3: 0, 4: 0}"
59,31,99894.30713611658,81721.26175936303,10,0,1.0,1,2.9509900499,200274.33630848667,118553.07454912364,20,0,0,4,"{0: 0, 1: 0, 2: 10, 3: 0, 4: 0}"
60,31,99894.30713611658,81312.65545056622,10,0,1.0,1,2.9414801494010003,200371.48725253792,119058.8318019717,20,0,0,4,"{0: 0, 1: 0, 2: 10, 3: 0, 4: 0}"
61,31,99894.30713611658,80906.09217331339,10,0,1.0,1,2.9414801494010003,200371.48725253792,119465.39507922453,20,0,0,4,"{0: 0, 1: 0, 2: 9, 3: 1, 4: 0}"
62,31,99894.30713611658,80501.56171244681,10,0,1.0,1,2.9414801494010003,200371.48725253792,119869.9255400911,20,0,0,4,"{0: 0, 1: 0, 2: 9, 3: 1, 4: 0}"
63,31,99894.30713611658,80099.05390388457,10,0,1.0,1,2.9414801494010003,200371.48725253792,120272.43334865334,20,0,0,4,"{0: 0, 1: 0, 2: 8, 3: 2, 4: 0}"
64,31,99894.30713611658,79698.55863436515,10,0,1.0,1,2.9414801494010003,200371.48725253792,120672.92861817277,20,0,0,4,"{0: 0, 1: 0, 2: 7, 3: 3, 4: 0}"
65,31,99894.30713611658,79300.06584119333,10,0,1.0,1,2.9414801494010003,200371.48725253792,121071.42141134459,20,0,0,4,"{0: 0, 1: 0, 2: 6, 3: 4, 4: 0}"
66,31,99894.30713611658,78903.56551198737,10,0,1.0,1,2.9414801494010003,200371.48725253792,121467.92174055055,20,0,0,4,"{0: 0, 1: 0, 2: 6, 3: 4, 4: 0}"
67,31,99894.30713611658,78509.04768442742,10,0,1.0,1,2.9414801494010003,200371.48725253792,121862.4395681105,20,0,0,4,"{0: 0, 1: 0, 2: 6, 3: 4, 4: 0}"
68,31,99894.30713611658,78116.5024460053,10,0,1.0,1,2.9414801494010003,200371.48725253792,122254.98480653262,20,0,0,4,"{0: 0, 1: 0, 2: 6, 3: 4, 4: 0}"
69,31,99894.30713611658,77725.91993377527,10,0,1.0,1,2.9414801494010003,200371.48725253792,122645.56731876265,20,0,0,4,"{0: 0, 1: 0, 2: 6, 3: 4, 4: 0}"
70,31,99894.30713611658,77337.29033410638,10,0,1.0,1,2.9320653479069905,200467.66668714865,123130.37635304227,20,0,0,4,"{0: 0, 1: 0, 2: 5, 3: 5, 4: 0}"
71,31,99894.30713611658,76950.60388243585,10,0,1.0,1,2.9320653479069905,200467.66668714865,123517.0628047128,20,0,0,4,"{0: 0, 1: 0, 2: 5, 3: 5, 4: 0}"
72,31,99894.30713611658,76565.85086302368,10,0,1.0,1,2.9320653479069905,200467.66668714865,123901.81582412498,20,0,0,4,"{0: 0, 1: 0, 2: 5, 3: 5, 4: 0}"
73,31,99894.30713611658,76183.02160870856,10,0,1.0,1,2.9320653479069905,200467.66668714865,124284.6450784401,20,0,0,4,"{0: 0, 1: 0, 2: 5, 3: 5, 4: 0}"
74,31,99894.30713611658,75802.10650066502,10,0,1.0,1,2.9320653479069905,200467.66668714865,124665.56018648364,20,0,0,4,"{0: 0, 1: 0, 2: 5, 3: 5, 4: 0}"
75,31,99894.30713611658,75423.09596816168,10,0,1.0,1,2.9320653479069905,200467.66668714865,125044.57071898697,20,0,0,4,"{0: 0, 1: 0, 2: 4, 3: 6, 4: 0}"
76,31,99894.30713611658,75045.98048832087,10,0,1.0,1,2.9320653479069905,200467.66668714865,125421.68619882778,20,0,0,4,"{0: 0, 1: 0, 2: 4, 3: 6, 4: 0}"
77,31,99894.30713611658,74670.75058587927,10,0,1.0,1,2.9320653479069905,200467.66668714865,125796.91610126938,20,0,0,4,"{0: 0, 1: 0, 2: 4, 3: 6, 4: 0}"
78,31,99894.30713611658,74297.39683294987,10,0,1.0,1,2.9320653479069905,200467.66668714865,126170.26985419878,20,0,0,4,"{0: 0, 1: 0, 2: 3, 3: 7, 4: 0}"
79,31,99894.30713611658,73925.90984878513,10,0,1.0,1,2.9320653479069905,200467.66668714865,126541.75683836352,20,0,0,4,"{0: 0, 1: 0, 2: 3, 3: 7, 4: 0}"
80,31,99894.30713611658,73556.2802995412,10,0,1.0,1,2.9227446944279207,200562.88432741328,127006.60402787208,20,0,0,4,"{0: 0, 1: 0, 2: 3, 3: 7, 4: 0}"
81,31,99894.30713611658,73188.4988980435,10,0,1.0,1,2.9227446944279207,200562.88432741328,127374.38542936978,20,0,0,4,"{0: 0, 1: 0, 2: 3, 3: 7, 4: 0}"
82,31,99894.30713611658,72822.55640355329,10,0,1.0,1,2.9227446944279207,200562.88432741328,127740.32792386,20,0,0,4,"{0: 0, 1: 0, 2: 3, 3: 7, 4: 0}"
83,31,99894.30713611658,72458.44362153551,10,0,1.0,1,2.9227446944279207,200562.88432741328,128104.44070587777,20,0,0,4,"{0: 0, 1: 0, 2: 3, 3: 7, 4: 0}"
84,31,99894.30713611658,72096.15140342784,10,0,1.0,1,2.9227446944279207,200562.88432741328,128466.73292398544,20,0,0,4,"{0: 0, 1: 0, 2: 3, 3: 7, 4: 0}"
85,31,99894.30713611658,71735.6706464107,10,0,1.0,1,2.9227446944279207,200562.88432741328,128827.21368100258,20,0,0,4,"{0: 0, 1: 0, 2: 2, 3: 8, 4: 0}"
86,31,99894.30713611658,71376.99229317864,10,0,1.0,1,2.9227446944279207,200562.88432741328,129185.89203423464,20,0,0,4,"{0: 0, 1: 0, 2: 2, 3: 8, 4: 0}"
87,31,99894.30713611658,71020.10733171276,10,0,1.0,1,2.9227446944279207,200562.88432741328,129542.77699570052,20,0,0,4,"{0: 0, 1: 0, 2: 2, 3: 8, 4: 0}"
88,31,99894.30713611658,70665.00679505419,10,0,1.0,1,2.9227446944279207,200562.88432741328,129897.8775323591,20,0,0,4,"{0: 0, 1: 0, 2: 1, 3: 9, 4: 0}"
89,31,99894.30713611658,70311.68176107891,10,0,1.0,1,2.9227446944279207,200562.88432741328,130251.20256633437,20,0,0,4,"{0: 0, 1: 0, 2: 0, 3: 10, 4: 0}"
90,31,99894.30713611658,69960.12335227353,10,0,1.0,1,2.9135172474836417,200657.14979127527,130697.02643900174,20,0,0,4,"{0: 0, 1: 0, 2: 0, 3: 10, 4: 0}"
91,31,99894.30713611658,69610.32273551216,10,0,1.0,1,2.9135172474836417,200657.14979127527,131046.8270557631,20,0,0,4,"{0: 0, 1: 0, 2: 0, 3: 10, 4: 0}"
92,31,99894.30713611658,69262.2711218346,10,0,1.0,1,2.9135172474836417,200657.14979127527,131394.8786694407,20,0,0,4,"{0: 0, 1: 0, 2: 0, 3: 10, 4: 0}"
