final_M,final_Xi,regime,blowup_step,transition_step,mu,alpha,a,m0,variant,steps
10.949593854071765,0.05499782414997085,plateau,,,0.0001,0.001,8.0,10.0,baseline,120
1000000000.0,1000000000.0,explosive,115,22,0.0001,0.001,8.0,10.0,two_scale,120
10.949530034314439,0.054994545888132525,plateau,,,0.0001,0.001,8.0,10.0,logistic,120
10.900915451968434,0.05468150442524906,plateau,,,0.00013413764884981477,0.001,8.0,10.0,baseline,120
1000000000.0,1000000000.0,explosive,115,22,0.00013413764884981477,0.001,8.0,10.0,two_scale,120
10.900852301130637,0.05467825428968852,plateau,,,0.00013413764884981477,0.001,8.0,10.0,logistic,120
10.835992165147111,0.05426139142547789,plateau,,,0.00017992908838956236,0.001,8.0,10.0,baseline,120
1000000000.0,1000000000.0,explosive,115,22,0.00017992908838956236,0.001,8.0,10.0,two_scale,120
10.83592989863099,0.05425817848867007,plateau,,,0.00017992908838956236,0.001,8.0,10.0,logistic,120
10.749570725439426,0.05370528917999371,plateau,,,0.00024135264876266424,0.001,8.0,10.0,baseline,120
1000000000.0,1000000000.0,explosive,116,22,0.00024135264876266424,0.001,8.0,10.0,two_scale,120
10.749509622293662,0.0537021252078163,plateau,,,0.00024135264876266424,0.001,8.0,10.0,logistic,120
10.634830471486024,0.052972443949924716,plateau,,,0.0003237447684869894,0.001,8.0,10.0,baseline,120
1000000000.0,1000000000.0,explosive,116,23,0.0003237447684869894,0.001,8.0,10.0,two_scale,120
10.634770888857393,0.05296934402430542,plateau,,,0.0003237447684869894,0.001,8.0,10.0,logistic,120
10.483018374671186,0.05201236308526597,plateau,,,0.0004342636207227237,0.001,8.0,10.0,baseline,120
1000000000.0,1000000000.0,explosive,117,23,0.0004342636207227237,0.001,8.0,10.0,two_scale,120
10.482960762193795,0.05200934623594975,plateau,,,0.0004342636207227237,0.001,8.0,10.0,logistic,120
10.283081471350012,0.05076435939101631,plateau,,,0.0005825110106475391,0.001,8.0,10.0,baseline,120
1000000000.0,1000000000.0,explosive,119,23,0.0005825110106475391,0.001,8.0,10.0,two_scale,120
10.283026382481864,0.05076144911905746,plateau,,,0.0005825110106475391,0.001,8.0,10.0,logistic,120
10.021375427188183,0.04915865420022539,plateau,,,0.0007813665739739041,0.001,8.0,10.0,baseline,120
1000000000.0,1000000000.0,explosive,120,23,0.0007813665739739041,0.001,8.0,10.0,two_scale,120
10.021323522292024,0.049155878687753195,plateau,,,0.0007813665739739041,0.001,8.0,10.0,logistic,120
9.681596775082832,0.04712028039062775,plateau,,,0.0010481067512269438,0.001,8.0,10.0,baseline,120
73.34300343619327,3.333761982232208,precursor-active,,23,0.0010481067512269438,0.001,8.0,10.0,two_scale,120
9.681548808309223,0.047117672082830075,plateau,,,0.0010481067512269438,0.001,8.0,10.0,logistic,120
9.245188272516716,0.0445773671780742,plateau,,,0.0014059057535319996,0.001,8.0,10.0,baseline,120
50.231977262880164,2.2137733805409883,precursor-active,,25,0.0014059057535319996,0.001,8.0,10.0,two_scale,120
9.24514505213851,0.04457496132869113,plateau,,,0.0014059057535319996,0.001,8.0,10.0,logistic,120
8.692598462162428,0.041475319433376054,plateau,,,0.001885848922832098,0.001,8.0,10.0,baseline,120
41.13763230416757,1.8043008139794465,precursor-active,,26,0.001885848922832098,0.001,8.0,10.0,two_scale,120
8.692560773998183,0.041473151205771226,plateau,,,0.001885848922832098,0.001,8.0,10.0,logistic,120
8.00590728305517,0.037797324346925655,plateau,,,0.0025296334059465367,0.001,8.0,10.0,baseline,120
34.62128241112039,1.5338637823346695,precursor-active,,28,0.0025296334059465367,0.001,8.0,10.0,two_scale,120
8.005875772485734,0.037795424292847705,plateau,,,0.0025296334059465367,0.001,8.0,10.0,logistic,120
7.17337171103043,0.033588820136013796,plateau,,,0.003393190775256175,0.001,8.0,10.0,baseline,120
29.021519418614883,1.3193757133387038,precursor-active,,31,0.003393190775256175,0.001,8.0,10.0,two_scale,120
7.1733467345638084,0.03358720846829098,plateau,,,0.003393190775256175,0.001,8.0,10.0,logistic,120
6.196214562603979,0.028978865274089157,plateau,,,0.004551546326917436,0.001,8.0,10.0,baseline,120
23.818443727080385,1.133446960639184,exponential,,35,0.004551546326917436,0.001,8.0,10.0,two_scale,120
6.196196044951796,0.02897754628650464,plateau,,,0.004551546326917436,0.001,8.0,10.0,logistic,120
5.097171044884721,0.02418628867104693,plateau,,,0.006105337229237159,0.001,8.0,10.0,baseline,120
18.840752624511637,0.9638986754859893,exponential,,43,0.006105337229237159,0.001,8.0,10.0,two_scale,120
5.097158402032927,0.0241852475319564,plateau,,,0.006105337229237159,0.001,8.0,10.0,logistic,120
3.92857202831878,0.019497276777692092,plateau,,,0.008189555813651153,0.001,8.0,10.0,baseline,120
14.103758598749588,0.804987205418287,exponential,,65,0.008189555813651153,0.001,8.0,10.0,two_scale,120
3.9285642185252763,0.01949648089133173,plateau,,,0.008189555813651153,0.001,8.0,10.0,logistic,120
2.7750610648356653,0.01520916433757334,plateau,,,0.010985277619674985,0.001,8.0,10.0,baseline,120
9.760493536551555,0.6550093936453614,plateau,,,0.010985277619674985,0.001,8.0,10.0,two_scale,120
2.7750567854866177,0.01520856979054787,plateau,,,0.010985277619674985,0.001,8.0,10.0,logistic,120
1.7436668668338737,0.011554124165427596,plateau,,,0.014735393118656924,0.001,8.0,10.0,baseline,120
6.054323657163489,0.5155479028215814,plateau,,,0.014735393118656924,0.001,8.0,10.0,two_scale,120
1.7436648340086005,0.011553684931587633,plateau,,,0.014735393118656924,0.001,8.0,10.0,logistic,120
0.9356412071664584,0.008637193566179802,plateau,,,0.019765709878143814,0.001,8.0,10.0,baseline,120
