variant,alpha,mu,a,m0,steps,final_M,final_Xi,regime,blowup_step
two_scale,0.00019306977,0.0019306977,8,50,40,1e+09,1e+09,explosive,20
two_scale,0.00019306977,0.0037275937,8,50,40,1e+09,1e+09,explosive,22
two_scale,0.00019306977,0.0071968567,8,50,40,1e+09,1e+09,explosive,26
two_scale,0.00019306977,0.013894955,8,50,40,44.525537,1.0695198,plateau,
two_scale,0.00019306977,0.026826958,8,50,40,21.062062,0.43374189,plateau,
two_scale,0.00019306977,0.051794747,8,50,40,6.946722,0.22737702,plateau,
two_scale,0.00019306977,0.1,8,50,40,0.83795489,0.12315399,plateau,
two_scale,0.00051794747,0.001,8,50,40,1e+09,1e+09,explosive,9
two_scale,0.00051794747,0.0019306977,8,50,40,1e+09,1e+09,explosive,9
two_scale,0.00051794747,0.0037275937,8,50,40,1e+09,1e+09,explosive,10
two_scale,0.00051794747,0.0071968567,8,50,40,1e+09,1e+09,explosive,10
two_scale,0.00051794747,0.013894955,8,50,40,1e+09,1e+09,explosive,11
two_scale,0.00051794747,0.026826958,8,50,40,1e+09,1e+09,explosive,16
two_scale,0.00051794747,0.051794747,8,50,40,9.7359127,0.83710032,plateau,
two_scale,0.00051794747,0.1,8,50,40,1.0499156,0.3737552,plateau,
two_scale,0.0013894955,0.001,8,50,120,1e+09,1e+09,explosive,6
two_scale,0.0013894955,0.0019306977,8,50,120,1e+09,1e+09,explosive,6
two_scale,0.0013894955,0.0037275937,8,50,120,1e+09,1e+09,explosive,6
two_scale,0.0013894955,0.0071968567,8,50,120,1e+09,1e+09,explosive,6
two_scale,0.0013894955,0.013894955,8,50,40,1e+09,1e+09,explosive,6
two_scale,0.0013894955,0.026826958,8,50,40,1e+09,1e+09,explosive,6
two_scale,0.0013894955,0.051794747,8,50,40,1e+09,1e+09,explosive,7
two_scale,0.0013894955,0.1,8,50,40,2.7741629,2.1018621,plateau,
two_scale,0.0037275937,0.001,8,50,120,1e+09,1e+09,explosive,4
two_scale,0.0037275937,0.0019306977,8,50,120,1e+09,1e+09,explosive,4
two_scale,0.0037275937,0.0037275937,8,50,120,1e+09,1e+09,explosive,4
two_scale,0.0037275937,0.0071968567,8,50,120,1e+09,1e+09,explosive,4
two_scale,0.0037275937,0.013894955,8,50,40,1e+09,1e+09,explosive,4
two_scale,0.0037275937,0.026826958,8,50,40,1e+09,1e+09,explosive,4
two_scale,0.0037275937,0.051794747,8,50,40,1e+09,1e+09,explosive,4
two_scale,0.0037275937,0.1,8,50,40,1e+09,1e+09,explosive,4
two_scale,0.01,0.001,8,50,120,1e+09,1e+09,explosive,3
two_scale,0.01,0.0019306977,8,50,120,1e+09,1e+09,explosive,3
two_scale,0.01,0.0037275937,8,50,120,1e+09,1e+09,explosive,3
two_scale,0.01,0.0071968567,8,50,120,1e+09,1e+09,explosive,3
two_scale,0.01,0.013894955,8,50,40,1e+09,1e+09,explosive,3
two_scale,0.01,0.026826958,8,50,40,1e+09,1e+09,explosive,3
two_scale,0.01,0.051794747,8,50,40,1e+09,1e+09,explosive,3
two_scale,0.01,0.1,8,50,40,1e+09,1e+09,explosive,3
logistic,1e-05,0.001,8,10,40,9.61068,0.0001530792,plateau,
logistic,1e-05,0.0019306977,8,10,40,9.2588898,0.00014629615,plateau,
logistic,1e-05,0.0037275937,8,10,40,8.6148662,0.00013436832,plateau,
logistic,1e-05,0.0071968567,8,10,40,7.4927106,0.00011501777,plateau,
logistic,1e-05,0.013894955,8,10,40,5.715086,8.7746281e-05,plateau,
logistic,1e-05,0.026826958,8,10,40,3.3703443,5.7114335e-05,plateau,
logistic,1e-05,0.051794747,8,10,40,1.1916236,3.2043987e-05,plateau,
logistic,1e-05,0.1,8,10,40,0.1478173,1.7274899e-05,plateau,
logistic,2.6826958e-05,0.001,8,10,40,9.615696,0.00041093098,plateau,
logistic,2.6826958e-05,0.0019306977,8,10,40,9.263593,0.00039271302,plateau,
logistic,2.6826958e-05,0.0037275937,8,10,40,8.6190239,0.00036067909,plateau,
logistic,2.6826958e-05,0.0071968567,8,10,40,7.4959999,0.00030871547,plateau,
logistic,2.6826958e-05,0.013894955,8,10,40,5.7172028,0.00023549232,plateau,
logistic,2.6826958e-05,0.026826958,8,10,40,3.3712779,0.00015326308,plateau,
logistic,2.6826958e-05,0.051794747,8,10,40,1.1918306,8.5978106e-05,plateau,
logistic,2.6826958e-05,0.1,8,10,40,0.14783155,4.6347159e-05,plateau,
logistic,7.1968567e-05,0.001,8,10,40,9.629185,0.0011043226,plateau,
logistic,7.1968567e-05,0.0019306977,8,10,40,9.2762397,0.0010552971,plateau,
logistic,7.1968567e-05,0.0037275937,8,10,40,8.6302025,0.00096910542,plateau,
logistic,7.1968567e-05,0.0071968567,8,10,40,7.5048416,0.00082932759,plateau,
logistic,7.1968567e-05,0.013894955,8,10,40,5.7228911,0.00063244444,plateau,
logistic,7.1968567e-05,0.026826958,8,10,40,3.3737857,0.00041146581,plateau,
logistic,7.1968567e-05,0.051794747,8,10,40,1.1923863,0.00023075276,plateau,
logistic,7.1968567e-05,0.1,8,10,40,0.14786981,0.00012436312,plateau,
logistic,0.00019306977,0.001,8,10,40,9.6656076,0.0029764774,plateau,
logistic,0.00019306977,0.0019306977,8,10,40,9.3103811,0.0028438491,plateau,
logistic,0.00019306977,0.0037275937,8,10,40,8.6603699,0.002610775,plateau,
logistic,0.00019306977,0.0071968567,8,10,40,7.5286883,0.0022330693,plateau,
logistic,0.00019306977,0.013894955,8,10,40,5.7382191,0.0017016457,plateau,
logistic,0.00019306977,0.026826958,8,10,40,3.3805357,0.0011060582,plateau,
logistic,0.00019306977,0.051794747,8,10,40,1.1938802,0.00061975796,plateau,
logistic,0.00019306977,0.1,8,10,40,0.14797256,0.00033382865,plateau,
logistic,0.00051794747,0.001,8,10,40,9.7650506,0.0080870847,plateau,
logistic,0.00051794747,0.0019306977,8,10,40,9.4035455,0.0077230904,plateau,
logistic,0.00051794747,0.0037275937,8,10,40,8.7426102,0.0070841718,plateau,
logistic,0.00051794747,0.0071968567,8,10,40,7.5935919,0.0060508276,plateau,
logistic,0.00051794747,0.013894955,8,10,40,5.7798358,0.0046013472,plateau,
logistic,0.00051794747,0.026826958,8,10,40,3.3988059,0.0029833344,plateau,
logistic,0.00051794747,0.051794747,8,10,40,1.1979113,0.0016678185,plateau,
logistic,0.00051794747,0.1,8,10,40,0.14824907,0.00089700537,plateau,
logistic,0.0013894955,0.001,8,10,120,10.146036,0.069346681,plateau,
logistic,0.0013894955,0.0019306977,8,10,120,8.9670293,0.059819337,plateau,
logistic,0.0013894955,0.0037275937,8,10,120,7.0921754,0.046266006,plateau,
logistic,0.0013894955,0.0071968567,8,10,120,4.5511001,0.030650897,plateau,
logistic,0.0013894955,0.013894955,8,10,40,5.8951936,0.012614446,plateau,
logistic,0.0013894955,0.026826958,8,10,40,3.4490184,0.0081220473,plateau,
logistic,0.0013894955,0.051794747,8,10,40,1.2088963,0.0045121476,plateau,
logistic,0.0013894955,0.1,8,10,40,0.1489971,0.0024168613,plateau,
logistic,0.0037275937,0.001,8,10,120,14.038245,0.27730504,exponential,
logistic,0.0037275937,0.0019306977,8,10,120,11.88868,0.22453425,exponential,
logistic,0.0037275937,0.0037275937,8,10,120,8.8785959,0.15992911,plateau,
logistic,0.0037275937,0.0071968567,8,10,120,5.3356262,0.097030399,plateau,
logistic,0.0037275937,0.013894955,8,10,40,6.234423,0.035977065,plateau,
logistic,0.0037275937,0.026826958,8,10,40,3.5930443,0.022698732,plateau,
logistic,0.0037275937,0.051794747,8,10,40,1.2396546,0.012387534,plateau,
logistic,0.0037275937,0.1,8,10,40,0.15105016,0.0065605348,plateau,
logistic,0.01,0.001,8,10,120,9.5501998e+08,1e+09,plateau,74
logistic,0.01,0.0019306977,8,10,120,31651055,1741367.7,precursor-active,
logistic,0.01,0.0037275937,8,10,120,9.074666e+08,1.313976e+08,precursor-active,94
logistic,0.01,0.0071968567,8,10,120,12.735143,0.62132991,exponential,
logistic,0.01,0.013894955,8,10,40,7.4423431,0.11701314,plateau,
logistic,0.01,0.026826958,8,10,40,4.063448,0.068777392,plateau,
logistic,0.01,0.051794747,8,10,40,1.3327898,0.035486772,plateau,
logistic,0.01,0.1,8,10,40,0.15691716,0.018182648,plateau,
logistic,1e-05,0.001,8,20,40,19.236233,0.0010708149,plateau,
logistic,1e-05,0.0019306977,8,20,40,18.531536,0.0010136717,plateau,
logistic,1e-05,0.0037275937,8,20,40,17.241604,0.00091588422,plateau,
logistic,1e-05,0.0071968567,8,20,40,14.994452,0.00076438688,plateau,
logistic,1e-05,0.013894955,8,20,40,11.435678,0.00056521341,plateau,
logistic,1e-05,0.026826958,8,20,40,6.7429994,0.0003596401,plateau,
logistic,1e-05,0.051794747,8,20,40,2.383765,0.00020225405,plateau,
logistic,1e-05,0.1,8,20,40,0.29567153,0.00011020036,plateau,
logistic,2.6826958e-05,0.001,8,20,40,19.271437,0.0028806334,plateau,
logistic,2.6826958e-05,0.0019306977,8,20,40,18.564219,0.0027265177,plateau,
logistic,2.6826958e-05,0.0037275937,8,20,40,17.269998,0.0024628855,plateau,
logistic,2.6826958e-05,0.0071968567,8,20,40,15.016293,0.0020547074,plateau,
logistic,2.6826958e-05,0.013894955,8,20,40,11.449209,0.0015185467,plateau,
logistic,2.6826958e-05,0.026826958,8,20,40,6.7487645,0.0009657217,plateau,
logistic,2.6826958e-05,0.051794747,8,20,40,2.3850514,0.00054287346,plateau,
logistic,2.6826958e-05,0.1,8,20,40,0.29576223,0.00029571527,plateau,
logistic,7.1968567e-05,0.001,8,20,40,19.366864,0.007785885,plateau,
logistic,7.1968567e-05,0.0019306977,8,20,40,18.652769,0.0073664447,plateau,
logistic,7.1968567e-05,0.0037275937,8,20,40,17.346863,0.0066497,plateau,
logistic,7.1968567e-05,0.0071968567,8,20,40,15.075343,0.0055418515,plateau,
logistic,7.1968567e-05,0.013894955,8,20,40,11.485728,0.0040901058,plateau,
logistic,7.1968567e-05,0.026826958,8,20,40,6.7642944,0.0025973628,plateau,
logistic,7.1968567e-05,0.051794747,8,20,40,2.3885112,0.0014584373,plateau,
logistic,7.1968567e-05,0.1,8,20,40,0.29600589,0.00079389938,plateau,
logistic,0.00019306977,0.001,8,20,40,19.630209,0.021319107,plateau,
logistic,0.00019306977,0.0019306977,8,20,40,18.896809,0.020148542,plateau,
logistic,0.00019306977,0.0037275937,8,20,40,17.558215,0.018154159,plateau,
logistic,0.00019306977,0.0071968567,8,20,40,15.237131,0.015086035,plateau,
logistic,0.00019306977,0.013894955,8,20,40,11.585305,0.011091977,plateau,
logistic,0.00019306977,0.026826958,8,20,40,6.806422,0.0070161579,plateau,
logistic,0.00019306977,0.051794747,8,20,40,2.3978556,0.0039275564,plateau,
logistic,0.00019306977,0.1,8,20,40,0.29666198,0.0021340165,plateau,
logistic,0.00051794747,0.001,8,20,40,20.39541,0.060612686,plateau,
logistic,0.00051794747,0.0019306977,8,20,40,19.603083,0.057096971,plateau,
logistic,0.00051794747,0.0037275937,8,20,40,18.165742,0.051160379,plateau,
logistic,0.00051794747,0.0071968567,8,20,40,15.697343,0.04215596,plateau,
logistic,0.00051794747,0.013894955,8,20,40,11.864693,0.03065937,plateau,
logistic,0.00051794747,0.026826958,8,20,40,6.9229164,0.019180152,plateau,
logistic,0.00051794747,0.051794747,8,20,40,2.423386,0.010646341,plateau,
logistic,0.00051794747,0.1,8,20,40,0.2984398,0.0057556021,plateau,
logistic,0.0013894955,0.001,8,20,120,9.9202794e+08,1e+09,exponential,112
logistic,0.0013894955,0.0019306977,8,20,120,36.468801,1.1264455,precursor-active,
logistic,0.0013894955,0.0037275937,8,20,120,20.807871,0.5067498,exponential,
logistic,0.0013894955,0.0071968567,8,20,120,11.350405,0.25331303,plateau,
logistic,0.0013894955,0.013894955,8,20,40,12.718006,0.089736605,plateau,
logistic,0.0013894955,0.026826958,8,20,40,7.2632258,0.054263566,plateau,
logistic,0.0013894955,0.051794747,8,20,40,2.4954084,0.029389781,plateau,
logistic,0.0013894955,0.1,8,20,40,0.30334086,0.015666749,plateau,
logistic,0.0037275937,0.001,8,20,120,9.240034e+08,1e+09,plateau,41
logistic,0.0037275937,0.0019306977,8,20,120,8.6173505e+08,1e+09,plateau,43
logistic,0.0037275937,0.0037275937,8,20,120,7.6422868e+08,1e+09,plateau,48
logistic,0.0037275937,0.0071968567,8,20,120,6.7703286e+08,1e+09,plateau,66
logistic,0.0037275937,0.013894955,8,20,40,16.314845,0.32879986,plateau,
logistic,0.0037275937,0.026826958,8,20,40,8.4516978,0.1719791,plateau,
logistic,0.0037275937,0.051794747,8,20,40,2.7188185,0.085670165,plateau,
logistic,0.0037275937,0.1,8,20,40,0.31752547,0.043769984,plateau,
logistic,0.01,0.001,8,20,120,9.0208048e+08,1e+09,plateau,17
logistic,0.01,0.0019306977,8,20,120,813847.35,51741.881,precursor-active,
logistic,0.01,0.0037275937,8,20,120,6.8322915e+08,1e+09,plateau,18
logistic,0.01,0.0071968567,8,20,120,4.8214481e+08,3.3799719e+08,precursor-active,19
logistic,0.01,0.013894955,8,20,40,7.8830462e+08,1e+09,plateau,23
logistic,0.01,0.026826958,8,20,40,26.330698,1.4837266,exponential,
logistic,0.01,0.051794747,8,20,40,3.7087183,0.30760064,plateau,
logistic,0.01,0.1,8,20,40,0.36532891,0.13271395,plateau,
logistic,1e-05,0.001,8,50,40,49.092365,0.054175916,plateau,
logistic,1e-05,0.0019306977,8,50,40,47.210004,0.048753491,plateau,
logistic,1e-05,0.0037275937,8,50,40,43.802251,0.04049683,plateau,
logistic,1e-05,0.0071968567,8,50,40,37.952436,0.029904083,plateau,
logistic,1e-05,0.013894955,8,50,40,28.830095,0.019235086,plateau,
logistic,1e-05,0.026826958,8,50,40,16.943884,0.011083834,plateau,
logistic,1e-05,0.051794747,8,50,40,5.9771073,0.0061398078,plateau,
logistic,1e-05,0.1,8,50,40,0.74048175,0.0035101954,plateau,
logistic,2.6826958e-05,0.001,8,50,40,51.229369,0.16383873,exponential,
logistic,2.6826958e-05,0.0019306977,8,50,40,49.055044,0.145276,plateau,
logistic,2.6826958e-05,0.0037275937,8,50,40,45.22618,0.11811332,plateau,
logistic,2.6826958e-05,0.0071968567,8,50,40,38.875444,0.085014576,plateau,
logistic,2.6826958e-05,0.013894955,8,50,40,29.295781,0.05341609,plateau,
logistic,2.6826958e-05,0.026826958,8,50,40,17.108897,0.03028823,plateau,
logistic,2.6826958e-05,0.051794747,8,50,40,6.0106648,0.016627772,plateau,
logistic,2.6826958e-05,0.1,8,50,40,0.7429226,0.009461481,plateau,
logistic,7.1968567e-05,0.001,8,50,40,63.351304,0.78137263,precursor-active,
logistic,7.1968567e-05,0.0019306977,8,50,40,58.038291,0.61072377,exponential,
logistic,7.1968567e-05,0.0037275937,8,50,40,51.081296,0.43347446,exponential,
logistic,7.1968567e-05,0.0071968567,8,50,40,42.121224,0.27632483,plateau,
logistic,7.1968567e-05,0.013894955,8,50,40,30.75069,0.1590051,plateau,
logistic,7.1968567e-05,0.026826958,8,50,40,17.588201,0.085630772,plateau,
logistic,7.1968567e-05,0.051794747,8,50,40,6.104435,0.045788316,plateau,
logistic,7.1968567e-05,0.1,8,50,40,0.74961012,0.025711905,plateau,
logistic,0.00019306977,0.001,8,50,40,9.8117003e+08,1e+09,plateau,21
logistic,0.00019306977,0.0019306977,8,50,40,327956.29,17138.482,precursor-active,
logistic,0.00019306977,0.0037275937,8,50,40,9.4199724e+08,1e+09,plateau,24
logistic,0.00019306977,0.0071968567,8,50,40,9.3706192e+08,1e+09,exponential,31
logistic,0.00019306977,0.013894955,8,50,40,38.097615,0.66498611,plateau,
logistic,0.00019306977,0.026826958,8,50,40,19.24632,0.272081,plateau,
logistic,0.00019306977,0.051794747,8,50,40,6.3876746,0.13257968,plateau,
logistic,0.00019306977,0.1,8,50,40,0.76863902,0.071516474,plateau,
logistic,0.00051794747,0.001,8,50,40,9.7043097e+08,1e+09,plateau,10
logistic,0.00051794747,0.0019306977,8,50,40,9.4367173e+08,1e+09,plateau,10
logistic,0.00051794747,0.0037275937,8,50,40,8.940114e+08,1e+09,plateau,10
logistic,0.00051794747,0.0071968567,8,50,40,8.1101925e+08,1e+09,plateau,11
logistic,0.00051794747,0.013894955,8,50,40,6.7584804e+08,1e+09,plateau,12
logistic,0.00051794747,0.026826958,8,50,40,6.1294465e+08,1e+09,plateau,22
logistic,0.00051794747,0.051794747,8,50,40,7.5467397,0.46838126,plateau,
logistic,0.00051794747,0.1,8,50,40,0.82966563,0.21424204,plateau,
logistic,0.0013894955,0.001,8,50,120,8.9220706e+08,1e+09,plateau,6
logistic,0.0013894955,0.0019306977,8,50,120,8.0226822e+08,1e+09,plateau,6
logistic,0.0013894955,0.0037275937,8,50,120,6.5328639e+08,1e+09,plateau,6
logistic,0.0013894955,0.0071968567,8,50,120,4.3893313e+08,1e+09,plateau,6
logistic,0.0013894955,0.013894955,8,50,40,6.2142418e+08,1e+09,plateau,6
logistic,0.0013894955,0.026826958,8,50,40,3.9670016e+08,1e+09,plateau,6
logistic,0.0013894955,0.051794747,8,50,40,2.7903364e+08,1e+09,plateau,16
logistic,0.0013894955,0.1,8,50,40,1.1943544,0.95443467,plateau,
logistic,0.0037275937,0.001,8,50,120,8.9042354e+08,1e+09,plateau,4
logistic,0.0037275937,0.0019306977,8,50,120,7.9917334e+08,1e+09,plateau,4
logistic,0.0037275937,0.0037275937,8,50,120,6.4842509e+08,1e+09,plateau,4
logistic,0.0037275937,0.0071968567,8,50,120,4.3263798e+08,1e+09,plateau,4
logistic,0.0037275937,0.013894955,8,50,40,6.0427483e+08,1e+09,plateau,4
logistic,0.0037275937,0.026826958,8,50,40,3.7570115e+08,1e+09,plateau,4
logistic,0.0037275937,0.051794747,8,50,40,1.4739571e+08,1e+09,plateau,4
logistic,0.0037275937,0.1,8,50,40,1515757.4,3412886.5,plateau,
logistic,0.01,0.001,8,50,120,8.8953312e+08,1e+09,plateau,3
logistic,0.01,0.0019306977,8,50,120,7.9763037e+08,1e+09,plateau,3
logistic,0.01,0.0037275937,8,50,120,6.4600803e+08,1e+09,plateau,3
logistic,0.01,0.0071968567,8,50,120,4.2952435e+08,1e+09,plateau,3
logistic,0.01,0.013894955,8,50,40,5.9587846e+08,1e+09,plateau,3
logistic,0.01,0.026826958,8,50,40,3.6562223e+08,1e+09,plateau,3
logistic,0.01,0.051794747,8,50,40,1.3976139e+08,1e+09,plateau,3
logistic,0.01,0.1,8,50,40,20275560,1e+09,plateau,3
