variant,alpha,mu,a,m0,steps,final_M,final_Xi,regime,blowup_step
baseline,2.6826958e-05,0.051794747,8,20,40,2.3850515,0.00054291436,plateau,
baseline,2.6826958e-05,0.1,8,20,40,0.29576224,0.00029573803,plateau,
baseline,7.1968567e-05,0.001,8,20,40,19.366879,0.0077866611,plateau,
baseline,7.1968567e-05,0.0019306977,8,20,40,18.652782,0.0073671662,plateau,
baseline,7.1968567e-05,0.0037275937,8,20,40,17.346874,0.006650331,plateau,
baseline,7.1968567e-05,0.0071968567,8,20,40,15.075352,0.0055423504,plateau,
baseline,7.1968567e-05,0.013894955,8,20,40,11.485733,0.0040904474,plateau,
baseline,7.1968567e-05,0.026826958,8,20,40,6.7642962,0.0025975642,plateau,
baseline,7.1968567e-05,0.051794747,8,20,40,2.3885116,0.0014585473,plateau,
baseline,7.1968567e-05,0.1,8,20,40,0.29600591,0.00079396055,plateau,
baseline,0.00019306977,0.001,8,20,40,19.630252,0.02132129,plateau,
baseline,0.00019306977,0.0019306977,8,20,40,18.896847,0.020150567,plateau,
baseline,0.00019306977,0.0037275937,8,20,40,17.558248,0.018155922,plateau,
baseline,0.00019306977,0.0071968567,8,20,40,15.237154,0.01508742,plateau,
baseline,0.00019306977,0.013894955,8,20,40,11.585318,0.011092917,plateau,
baseline,0.00019306977,0.026826958,8,20,40,6.8064269,0.0070167068,plateau,
baseline,0.00019306977,0.051794747,8,20,40,2.3978566,0.0039278542,plateau,
baseline,0.00019306977,0.1,8,20,40,0.29666205,0.0021341813,plateau,
baseline,0.00051794747,0.001,8,20,40,20.395541,0.060619394,plateau,
baseline,0.00051794747,0.0019306977,8,20,40,19.603201,0.057103144,plateau,
baseline,0.00051794747,0.0037275937,8,20,40,18.165839,0.051165684,plateau,
baseline,0.00051794747,0.0071968567,8,20,40,15.697412,0.042160044,plateau,
baseline,0.00051794747,0.013894955,8,20,40,11.864731,0.030662071,plateau,
baseline,0.00051794747,0.026826958,8,20,40,6.9229302,0.019181689,plateau,
baseline,0.00051794747,0.051794747,8,20,40,2.4233887,0.010647159,plateau,
baseline,0.00051794747,0.1,8,20,40,0.29843999,0.0057560494,plateau,
baseline,0.0013894955,0.001,8,20,120,1e+09,1e+09,explosive,112
baseline,0.0013894955,0.0019306977,8,20,120,36.483053,1.1271875,precursor-active,
baseline,0.0013894955,0.0037275937,8,20,120,20.809697,0.50685916,exponential,
baseline,0.0013894955,0.0071968567,8,20,120,11.350788,0.25334512,plateau,
baseline,0.0013894955,0.013894955,8,20,40,12.718133,0.089745486,plateau,
baseline,0.0013894955,0.026826958,8,20,40,7.2632688,0.054268223,plateau,
baseline,0.0013894955,0.051794747,8,20,40,2.4954163,0.029392119,plateau,
baseline,0.0013894955,0.1,8,20,40,0.30334139,0.015667988,plateau,
baseline,0.0037275937,0.001,8,20,120,1e+09,1e+09,explosive,41
baseline,0.0037275937,0.0019306977,8,20,120,1e+09,1e+09,explosive,43
baseline,0.0037275937,0.0037275937,8,20,120,1e+09,1e+09,explosive,48
baseline,0.0037275937,0.0071968567,8,20,120,1e+09,1e+09,explosive,66
baseline,0.0037275937,0.013894955,8,20,40,16.315627,0.32885053,plateau,
baseline,0.0037275937,0.026826958,8,20,40,8.4518813,0.17199754,plateau,
baseline,0.0037275937,0.051794747,8,20,40,2.7188459,0.085677732,plateau,
baseline,0.0037275937,0.1,8,20,40,0.31752709,0.043773618,plateau,
baseline,0.01,0.001,8,20,120,1e+09,1e+09,explosive,17
baseline,0.01,0.0019306977,8,20,120,1e+09,1e+09,explosive,18
baseline,0.01,0.0037275937,8,20,120,1e+09,1e+09,explosive,18
baseline,0.01,0.0071968567,8,20,120,1e+09,1e+09,explosive,19
baseline,0.01,0.013894955,8,20,40,1e+09,1e+09,explosive,23
baseline,0.01,0.026826958,8,20,40,26.353449,1.485101,exponential,
baseline,0.01,0.051794747,8,20,40,3.7088997,0.30764089,plateau,
baseline,0.01,0.1,8,20,40,0.36533528,0.13272678,plateau,
baseline,1e-05,0.001,8,50,40,49.092643,0.054190217,plateau,
baseline,1e-05,0.0019306977,8,50,40,47.210244,0.048766059,plateau,
baseline,1e-05,0.0037275937,8,50,40,43.802434,0.040506872,plateau,
baseline,1e-05,0.0071968567,8,50,40,37.952552,0.029911101,plateau,
baseline,1e-05,0.013894955,8,50,40,28.830152,0.019239334,plateau,
baseline,1e-05,0.026826958,8,50,40,16.943903,0.011086184,plateau,
baseline,1e-05,0.051794747,8,50,40,5.9771111,0.0061411015,plateau,
baseline,1e-05,0.1,8,50,40,0.74048203,0.0035109508,plateau,
baseline,2.6826958e-05,0.001,8,50,40,51.230348,0.16388892,exponential,
baseline,2.6826958e-05,0.0019306977,8,50,40,49.05586,0.14531864,plateau,
baseline,2.6826958e-05,0.0037275937,8,50,40,45.226776,0.11814578,plateau,
baseline,2.6826958e-05,0.0071968567,8,50,40,38.875802,0.085035986,plateau,
baseline,2.6826958e-05,0.013894955,8,50,40,29.295946,0.053428392,plateau,
